,State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Food environment index,Physical inactivity,Access to exercise opportunities,Primary care physicians,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income
3243,NC,South,South Atlantic,Alamance County,37001,37001,Region 20,1/1/2014,7123.0,0.192,3.8,3.6,6.532,0.273,0.774,55.0,0.259,0.073,8640.0,0.167,46.0,41394
3244,NC,South,South Atlantic,Alamance County,37001,37001,Region 20,1/1/2015,7291.0,0.192,3.8,3.6,6.2,0.257,0.842,57.0,0.249,0.088,9050.0,0.167,56.0,43001
3245,NC,South,South Atlantic,Alexander County,37003,37003,Region 20,1/1/2014,7974.0,0.178,4.3,4.6,7.825,0.233,0.114,19.0,0.24,0.077,9316.0,0.205,30.0,39655
3246,NC,South,South Atlantic,Alexander County,37003,37003,Region 20,1/1/2015,8079.0,0.178,4.3,4.6,7.4,0.234,0.24,19.0,0.239,0.076,9242.0,0.205,32.0,46064
3247,NC,South,South Atlantic,Alleghany County,37005,37005,Insuff Data,1/1/2014,8817.0,0.234,3.9,4.4,7.561,0.314,0.695,109.0,0.32,0.131,9585.0,0.21,55.0,34046
3248,NC,South,South Atlantic,Alleghany County,37005,37005,Insuff Data,1/1/2015,7324.0,0.234,3.9,4.4,7.4,0.315,0.71,110.0,0.319,0.119,9423.0,0.21,73.0,37086
3249,NC,South,South Atlantic,Anson County,37007,37007,Region 20,1/1/2014,10220.0,0.191,4.0,,6.229,0.29,0.197,45.0,0.218,0.063,9060.0,0.159,19.0,32339
3250,NC,South,South Atlantic,Anson County,37007,37007,Region 20,1/1/2015,9599.0,0.191,4.0,,5.9,0.285,0.072,42.0,0.233,0.067,8855.0,0.159,23.0,33443
3251,NC,South,South Atlantic,Ashe County,37009,37009,Insuff Data,1/1/2014,7521.0,0.225,4.8,3.5,7.783,0.277,0.377,44.0,0.265,0.093,8939.0,0.187,59.0,34080
3252,NC,South,South Atlantic,Ashe County,37009,37009,Insuff Data,1/1/2015,7900.0,0.225,4.8,3.5,7.3,0.275,0.605,48.0,0.288,0.096,8718.0,0.187,63.0,35155
3253,NC,South,South Atlantic,Avery County,37011,37011,Region 15,1/1/2014,6812.0,0.216,4.3,2.7,7.841,0.246,1.0,28.0,0.301,0.109,9726.0,0.164,68.0,34727
3254,NC,South,South Atlantic,Avery County,37011,37011,Region 15,1/1/2015,7146.0,0.216,4.3,2.7,7.5,0.257,1.0,74.0,0.308,0.115,9772.0,0.164,68.0,34933
3255,NC,South,South Atlantic,Beaufort County,37013,37013,Region 20,1/1/2014,9400.0,0.194,3.8,2.4,6.836,0.31,0.304,50.0,0.23,0.088,8044.0,,48.0,38256
3256,NC,South,South Atlantic,Beaufort County,37013,37013,Region 20,1/1/2015,8962.0,0.194,3.8,2.4,6.4,0.291,0.552,53.0,0.244,0.088,7983.0,,53.0,39043
3257,NC,South,South Atlantic,Bertie County,37015,37015,Region 1,1/1/2014,11207.0,0.275,4.1,2.3,5.735,0.317,0.379,24.0,0.212,0.063,8241.0,0.135,58.0,30414
3258,NC,South,South Atlantic,Bertie County,37015,37015,Region 1,1/1/2015,8814.0,0.275,4.1,2.3,5.4,0.311,0.368,29.0,0.213,0.067,8913.0,0.135,59.0,31610
3259,NC,South,South Atlantic,Bladen County,37017,37017,Region 20,1/1/2014,11030.0,0.271,4.7,4.2,6.371,0.332,0.385,26.0,0.266,0.088,10470.0,0.202,66.0,32766
3260,NC,South,South Atlantic,Bladen County,37017,37017,Region 20,1/1/2015,9807.0,0.271,4.7,4.2,6.0,0.331,0.351,26.0,0.279,0.099,10619.0,0.202,77.0,33971
3261,NC,South,South Atlantic,Brunswick County,37019,37019,Region 20,1/1/2014,8349.0,0.175,2.9,3.5,7.479,0.256,0.441,43.0,0.233,0.082,8959.0,0.183,62.0,48624
3262,NC,South,South Atlantic,Brunswick County,37019,37019,Region 20,1/1/2015,8131.0,0.175,2.9,3.5,7.2,0.22,0.746,39.0,0.242,0.084,9095.0,0.183,69.0,47799
3263,NC,South,South Atlantic,Buncombe County,37021,37021,Region 20,1/1/2014,7026.0,0.139,3.3,3.8,7.325,0.209,0.842,126.0,0.24,0.085,8237.0,0.154,130.0,43146
3264,NC,South,South Atlantic,Buncombe County,37021,37021,Region 20,1/1/2015,6737.0,0.139,3.3,3.8,6.9,0.218,0.901,127.0,0.246,0.079,8057.0,0.154,140.0,45738
3265,NC,South,South Atlantic,Burke County,37023,37023,Region 20,1/1/2014,9240.0,0.221,4.9,4.8,6.437,0.299,0.429,58.0,0.254,0.071,8645.0,0.203,46.0,38581
3266,NC,South,South Atlantic,Burke County,37023,37023,Region 20,1/1/2015,8425.0,0.221,4.9,4.8,6.2,0.292,0.595,56.0,0.256,0.072,8931.0,0.203,46.0,36150
3267,NC,South,South Atlantic,Cabarrus County,37025,37025,Region 20,1/1/2014,6556.0,0.155,3.2,3.2,7.54,0.236,0.705,89.0,0.226,0.068,9807.0,0.16,62.0,55531
3268,NC,South,South Atlantic,Cabarrus County,37025,37025,Region 20,1/1/2015,6053.0,0.155,3.2,3.2,7.3,0.238,0.795,92.0,0.222,0.076,9667.0,0.16,68.0,55046
3269,NC,South,South Atlantic,Caldwell County,37027,37027,Region 20,1/1/2014,8966.0,0.211,4.2,3.8,6.115,0.286,0.407,44.0,0.239,0.06,9101.0,0.173,37.0,35127
3270,NC,South,South Atlantic,Caldwell County,37027,37027,Region 20,1/1/2015,9239.0,0.211,4.2,3.8,5.8,0.262,0.656,44.0,0.227,0.063,9043.0,0.173,38.0,34811
3271,NC,South,South Atlantic,Camden County,37029,37029,Region 1,1/1/2014,5064.0,0.203,4.8,2.2,8.597,0.241,0.478,20.0,0.188,0.09,8796.0,,,53563
3272,NC,South,South Atlantic,Camden County,37029,37029,Region 1,1/1/2015,6664.0,0.203,4.8,2.2,8.4,0.248,0.456,10.0,0.183,0.088,9044.0,,,60537
3273,NC,South,South Atlantic,Carteret County,37031,37031,Region 20,1/1/2014,8072.0,0.176,4.3,3.4,7.578,0.304,0.766,73.0,0.225,0.079,8759.0,0.152,80.0,48930
3274,NC,South,South Atlantic,Carteret County,37031,37031,Region 20,1/1/2015,7985.0,0.176,4.3,3.4,7.2,0.297,0.882,62.0,0.241,0.086,9161.0,0.152,86.0,46227
3275,NC,South,South Atlantic,Caswell County,37033,37033,Insuff Data,1/1/2014,7738.0,0.205,4.7,4.6,6.609,0.279,0.322,4.0,0.22,0.076,9026.0,0.172,65.0,39615
3276,NC,South,South Atlantic,Caswell County,37033,37033,Insuff Data,1/1/2015,9328.0,0.205,4.7,4.6,6.3,0.295,0.439,9.0,0.222,0.082,9069.0,0.172,95.0,37122
3277,NC,South,South Atlantic,Catawba County,37035,37035,Region 20,1/1/2014,8388.0,0.182,3.8,3.7,6.817,0.284,0.404,66.0,0.244,0.072,8377.0,0.184,98.0,42080
3278,NC,South,South Atlantic,Catawba County,37035,37035,Region 20,1/1/2015,8035.0,0.182,3.8,3.7,6.6,0.295,0.62,67.0,0.243,0.067,8692.0,0.184,107.0,43777
3279,NC,South,South Atlantic,Chatham County,37037,37037,Region 20,1/1/2014,5967.0,0.194,4.5,3.6,8.259,0.212,0.545,45.0,0.227,0.101,8065.0,0.199,30.0,55371
3280,NC,South,South Atlantic,Chatham County,37037,37037,Region 20,1/1/2015,5729.0,0.194,4.5,3.6,8.1,0.226,0.67,100.0,0.232,0.094,8134.0,0.199,39.0,56981
3281,NC,South,South Atlantic,Cherokee County,37039,37039,Region 15,1/1/2014,8521.0,0.214,4.4,3.1,8.068,0.301,0.988,44.0,0.257,0.094,8467.0,0.181,67.0,31370
3282,NC,South,South Atlantic,Cherokee County,37039,37039,Region 15,1/1/2015,9921.0,0.214,4.4,3.1,7.6,0.312,0.986,41.0,0.254,0.102,8026.0,0.181,70.0,34476
3283,NC,South,South Atlantic,Chowan County,37041,37041,Insuff Data,1/1/2014,7213.0,0.231,4.0,3.8,6.0,0.292,0.298,74.0,0.234,0.08,8394.0,0.367,47.0,37458
3284,NC,South,South Atlantic,Chowan County,37041,37041,Insuff Data,1/1/2015,7493.0,0.231,4.0,3.8,5.7,0.29,0.559,81.0,0.224,0.073,7628.0,0.367,54.0,39143
3285,NC,South,South Atlantic,Clay County,37043,37043,Region 24,1/1/2014,9463.0,0.184,3.9,5.2,7.951,0.292,0.918,47.0,0.257,0.098,8019.0,0.252,94.0,36871
3286,NC,South,South Atlantic,Clay County,37043,37043,Region 24,1/1/2015,8462.0,0.184,3.9,5.2,7.6,0.293,0.938,47.0,0.263,0.104,7521.0,0.252,94.0,37078
3287,NC,South,South Atlantic,Cleveland County,37045,37045,Region 20,1/1/2014,9594.0,0.194,4.3,5.0,6.708,0.313,0.465,51.0,0.223,0.067,8843.0,0.185,65.0,38265
3288,NC,South,South Atlantic,Cleveland County,37045,37045,Region 20,1/1/2015,9767.0,0.194,4.3,5.0,6.4,0.301,0.644,50.0,0.226,0.068,9085.0,0.185,70.0,40528
3289,NC,South,South Atlantic,Columbus County,37047,37047,Region 20,1/1/2014,12108.0,0.286,5.3,4.5,6.642,0.283,0.303,40.0,0.26,0.097,10546.0,0.197,57.0,33765
3290,NC,South,South Atlantic,Columbus County,37047,37047,Region 20,1/1/2015,11337.0,0.286,5.3,4.5,6.3,0.28,0.401,38.0,0.262,0.093,10605.0,0.197,65.0,35026
3291,NC,South,South Atlantic,Craven County,37049,37049,Region 20,1/1/2014,7777.0,0.145,3.5,3.2,6.798,0.294,0.775,66.0,0.232,0.076,8635.0,0.139,69.0,47087
3292,NC,South,South Atlantic,Craven County,37049,37049,Region 20,1/1/2015,7461.0,0.145,3.5,3.2,6.5,0.276,0.813,68.0,0.224,0.073,9180.0,0.139,74.0,45022
3293,NC,South,South Atlantic,Cumberland County,37051,37051,Region 20,1/1/2014,8956.0,0.175,4.4,4.0,5.799,0.303,0.677,76.0,0.211,0.06,8886.0,0.148,138.0,45110
3294,NC,South,South Atlantic,Cumberland County,37051,37051,Region 20,1/1/2015,8995.0,0.175,4.4,4.0,5.3,0.283,0.826,73.0,0.214,0.072,9008.0,0.148,145.0,44038
3295,NC,South,South Atlantic,Currituck County,37053,37053,Region 1,1/1/2014,7275.0,,3.9,,8.732,0.259,0.678,17.0,0.208,0.098,9404.0,0.19,8.0,54822
3296,NC,South,South Atlantic,Currituck County,37053,37053,Region 1,1/1/2015,7466.0,,3.9,,8.2,0.255,0.788,17.0,0.213,0.086,8799.0,0.19,8.0,57577
3297,NC,South,South Atlantic,Dare County,37055,37055,Region 1,1/1/2014,5869.0,0.213,4.0,4.1,7.113,0.266,0.568,76.0,0.239,0.091,7384.0,0.175,67.0,51900
3298,NC,South,South Atlantic,Dare County,37055,37055,Region 1,1/1/2015,6432.0,0.213,4.0,4.1,6.9,0.249,0.91,67.0,0.241,0.102,7531.0,0.175,63.0,52083
3299,NC,South,South Atlantic,Davidson County,37057,37057,Region 20,1/1/2014,7932.0,0.208,4.2,4.4,7.257,0.323,0.589,32.0,0.233,0.073,9504.0,0.218,31.0,43824
3300,NC,South,South Atlantic,Davidson County,37057,37057,Region 20,1/1/2015,7920.0,0.208,4.2,4.4,7.0,0.325,0.812,31.0,0.23,0.068,9506.0,0.218,33.0,40424
3301,NC,South,South Atlantic,Davie County,37059,37059,Region 20,1/1/2014,6014.0,0.148,4.2,2.9,8.219,0.261,0.305,39.0,0.196,0.08,10030.0,0.144,41.0,49984
3302,NC,South,South Atlantic,Davie County,37059,37059,Region 20,1/1/2015,6530.0,0.148,4.2,2.9,8.0,0.256,0.65,43.0,0.218,0.085,9955.0,0.144,46.0,49708
3303,NC,South,South Atlantic,Duplin County,37061,37061,Region 20,1/1/2014,8311.0,0.341,4.2,2.5,7.358,0.337,0.219,25.0,0.335,0.104,9532.0,0.295,43.0,36075
3304,NC,South,South Atlantic,Duplin County,37061,37061,Region 20,1/1/2015,7465.0,0.341,4.2,2.5,7.0,0.306,0.318,27.0,0.33,0.109,9581.0,0.295,48.0,38106
3305,NC,South,South Atlantic,Durham County,37063,37063,Region 20,1/1/2014,6979.0,0.166,2.8,2.9,6.597,0.203,0.855,124.0,0.232,0.083,8397.0,0.155,148.0,50889
3306,NC,South,South Atlantic,Durham County,37063,37063,Region 20,1/1/2015,6476.0,0.166,2.8,2.9,6.3,0.201,0.921,122.0,0.238,0.085,8108.0,0.155,154.0,52331
3307,NC,South,South Atlantic,Edgecombe County,37065,37065,Region 20,1/1/2014,10009.0,0.198,4.3,2.1,4.747,0.29,0.306,27.0,0.234,0.059,8606.0,0.181,32.0,32002
3308,NC,South,South Atlantic,Edgecombe County,37065,37065,Region 20,1/1/2015,9873.0,0.198,4.3,2.1,4.5,0.303,0.35,32.0,0.225,0.063,8935.0,0.181,32.0,33080
3309,NC,South,South Atlantic,Forsyth County,37067,37067,Region 20,1/1/2014,7332.0,0.142,3.0,3.0,6.316,0.217,0.81,100.0,0.229,0.084,9325.0,0.129,149.0,43049
3310,NC,South,South Atlantic,Forsyth County,37067,37067,Region 20,1/1/2015,7218.0,0.142,3.0,3.0,6.0,0.217,0.845,106.0,0.243,0.076,9157.0,0.129,161.0,46163
3311,NC,South,South Atlantic,Franklin County,37069,37069,Region 20,1/1/2014,7673.0,0.166,4.4,4.4,7.576,0.286,0.562,20.0,0.257,0.092,8966.0,0.241,23.0,42346
3312,NC,South,South Atlantic,Franklin County,37069,37069,Region 20,1/1/2015,7607.0,0.166,4.4,4.4,7.3,0.281,0.767,20.0,0.255,0.094,9284.0,0.241,19.0,39312
3313,NC,South,South Atlantic,Gaston County,37071,37071,Region 20,1/1/2014,9282.0,0.208,4.5,4.5,6.496,0.286,0.743,66.0,0.238,0.072,9903.0,0.183,56.0,41614
3314,NC,South,South Atlantic,Gaston County,37071,37071,Region 20,1/1/2015,8906.0,0.208,4.5,4.5,6.2,0.291,0.777,65.0,0.241,0.074,9728.0,0.183,61.0,42461
3315,NC,South,South Atlantic,Gates County,37073,37073,Insuff Data,1/1/2014,9113.0,0.204,4.7,4.0,7.839,0.307,0.45,8.0,0.199,0.084,8583.0,0.213,17.0,44273
3316,NC,South,South Atlantic,Gates County,37073,37073,Insuff Data,1/1/2015,8077.0,0.204,4.7,4.0,7.5,0.296,0.306,8.0,0.203,0.083,8276.0,0.213,17.0,48194
3317,NC,South,South Atlantic,Graham County,37075,37075,Region 15,1/1/2014,9226.0,0.24,3.1,3.7,7.265,0.277,1.0,23.0,0.276,0.094,9833.0,0.221,69.0,32883
3318,NC,South,South Atlantic,Graham County,37075,37075,Region 15,1/1/2015,12294.0,0.24,3.1,3.7,7.0,0.25,1.0,23.0,0.264,0.102,8515.0,0.221,80.0,33553
3319,NC,South,South Atlantic,Granville County,37077,37077,Region 20,1/1/2014,7765.0,0.185,3.9,3.9,7.519,0.297,0.553,45.0,0.202,0.075,8342.0,0.204,45.0,46303
3320,NC,South,South Atlantic,Granville County,37077,37077,Region 20,1/1/2015,6909.0,0.185,3.9,3.9,7.1,0.259,0.631,48.0,0.228,0.078,8198.0,0.204,50.0,48680
3321,NC,South,South Atlantic,Greene County,37079,37079,Region 20,1/1/2014,7531.0,0.384,3.5,2.0,7.223,0.279,0.34,9.0,0.28,0.119,9649.0,,23.0,35050
3322,NC,South,South Atlantic,Greene County,37079,37079,Region 20,1/1/2015,6891.0,0.384,3.5,2.0,6.9,0.275,0.312,9.0,0.285,0.111,10080.0,,14.0,39481
3323,NC,South,South Atlantic,Guilford County,37081,37081,Region 20,1/1/2014,6974.0,0.122,2.7,3.1,6.531,0.235,0.883,75.0,0.23,0.079,8349.0,0.139,75.0,43299
